tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
mid,bm25,bm25__keep,bm25__rule_resolved,ndcg@10,two-sided,269,-0.00872668290319608,2798.5,0.07572415856021887,0.7572415856021887,10,-0.014607316095686903,-0.020692903525559855,0.00260941666346626
mid,bm25,bm25__keep,bm25__sastrawi_clitic,ndcg@10,two-sided,269,0.0005836991911500237,6.0,0.6858304344516057,1.0,10,0.00048368596343334116,-0.0002962401898234798,0.0018771184678869047
mid,bm25,bm25__keep,bm25__sentinel,ndcg@10,two-sided,269,-0.0033521898318760327,884.5,0.5189034936659933,1.0,10,-0.00657812910269344,-0.010203878682465266,0.0031321675808478715
mid,bm25,bm25__naive_strip,bm25__rule_resolved,ndcg@10,two-sided,269,-0.009565274972401977,2858.5,0.04333299139011491,0.43332991390114906,10,-0.015657605616285014,-0.02172893422083769,0.002037395430634604
mid,bm25,bm25__naive_strip,bm25__sastrawi_clitic,ndcg@10,two-sided,269,-0.00025489287805587334,14.0,0.3139380937749148,1.0,10,-0.00046986636447810285,-0.0018978280051604776,0.0016710504713878158
mid,bm25,bm25__naive_strip,bm25__sentinel,ndcg@10,two-sided,269,-0.00419078190108193,624.5,0.3096109681045661,1.0,10,-0.007628418623291552,-0.01058029104588862,0.0019237832397114916
mid,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,ndcg@10,greater,269,0.009310382094346105,2684.5,0.9745230847107721,1.0,10,0.015118641257030722,-0.002153282278268172,0.021327850636136007
mid,bm25,bm25__rule_resolved,bm25__sentinel,ndcg@10,two-sided,269,0.005374493071320046,2894.5,0.21894317568179644,1.0,10,0.00780807340970965,-0.0069935841835689645,0.018028543894407445
mid,bm25,bm25__sastrawi_clitic,bm25__sentinel,ndcg@10,two-sided,269,-0.003935889023026057,759.5,0.4573092113951154,1.0,10,-0.007144732659858211,-0.010729458455776723,0.002486058083715053
high,bge_m3,bge_m3__keep,bge_m3__naive_strip,ndcg@10,less,360,0.0003240517635192632,4185.5,0.27213434359730115,1.0,10,0.004205246913580247,-0.004568012427672149,0.0049722983514228014
high,bge_m3,bge_m3__keep,bge_m3__rule_resolved,ndcg@10,two-sided,360,-0.002715966681455061,7837.5,0.1992095405479951,1.0,10,-0.005979938271604938,-0.008465023778609046,0.00301159206424443
high,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,ndcg@10,two-sided,360,-0.0013608907537909485,1850.5,0.9313705182125462,1.0,10,-0.003912037037037037,-0.005412095335331764,0.00210006839443984
