tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
low,bm25,bm25__naive_strip,bm25__sentinel,mrr@100,two-sided,331,0.003113903483491172,1075.0,0.4282204689524338,1.0,10,0.0034227507963600187,-0.0020154455844562285,0.009329337874044122
low,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,mrr@100,greater,331,0.018506340124438917,1828.5,0.9999980717272416,1.0,10,0.02026268471445131,0.00544343259049521,0.032209112524224336
low,bm25,bm25__rule_resolved,bm25__sentinel,mrr@100,two-sided,331,0.021850001266478045,2144.0,9.881256711535205e-06,9.881256711535205e-05,10,0.023402488111645567,0.006855742872403232,0.036932207132196845
low,bm25,bm25__sastrawi_clitic,bm25__sentinel,mrr@100,two-sided,331,0.0033436611420391265,1133.0,0.40604677615908213,1.0,10,0.0033862414545321783,-0.0018563102955225198,0.009675553174740111
mid,bge_m3,bge_m3__keep,bge_m3__naive_strip,mrr@100,less,269,-0.0044284659911914635,451.5,0.6072800973262585,1.0,10,-0.006301737123588673,-0.011563408397992234,0.0013754016893793306
mid,bge_m3,bge_m3__keep,bge_m3__rule_resolved,mrr@100,two-sided,269,-0.013585081904485043,577.5,0.03129505501671535,0.31295055016715345,10,-0.01825569021986982,-0.02689887421777135,-0.0014123895595431056
mid,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,mrr@100,two-sided,269,0.000560899067541301,158.5,0.46352584739481095,1.0,10,0.0007462583435828693,-0.0015800999257726033,0.0026608499476328306
mid,bge_m3,bge_m3__keep,bge_m3__sentinel,mrr@100,two-sided,269,-0.006737025271994638,614.5,0.1342232804826723,1.0,10,-0.009148574508367768,-0.017505476347044482,0.0033534441484106645
mid,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,mrr@100,two-sided,269,-0.00915661591329358,662.5,0.1922802276287493,1.0,10,-0.012064509887923052,-0.023307812205018274,0.0038050442454543153
mid,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,mrr@100,two-sided,269,0.004989365058732765,211.0,0.46832233215713615,1.0,10,0.007006536670305828,-0.0006058699645547,0.012077470981210457
mid,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,mrr@100,two-sided,269,-0.0023085592808031745,457.0,0.2571455090971515,1.0,10,-0.002819198186868617,-0.013224490685010195,0.008246839571807305
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,mrr@100,two-sided,269,0.014145980972026344,422.5,0.024087461109396833,0.24087461109396832,10,0.01907104655822888,0.0020747495681821063,0.02758307588138019
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,mrr@100,greater,269,0.006848056632490404,626.0,0.7171141144042726,1.0,10,0.009107115711502052,-0.005675984062485009,0.020072105584662644
mid,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,mrr@100,two-sided,269,-0.00729792433953594,436.5,0.0798125015325661,0.7981250153256609,10,-0.01003302884150302,-0.01759897041925386,0.0025035386085699492
mid,bm25,bm25__keep,bm25__naive_strip,mrr@100,less,269,0.00011490493415004993,59.5,0.4886700392084077,1.0,10,0.00011055679164190655,-0.0007288078539175805,0.0010436620998689513
mid,bm25,bm25__keep,bm25__rule_resolved,mrr@100,two-sided,269,-0.001279620734319625,1903.5,0.04602300949472659,0.4602300949472659,10,-0.0030817705670181453,-0.019596043908197188,0.01749682080324576
mid,bm25,bm25__keep,bm25__sastrawi_clitic,mrr@100,two-sided,269,-0.00036362228194848325,6.5,0.2040841777655732,1.0,10,-0.000649521150896201,-0.0009356841409277309,6.630942464141116e-05
mid,bm25,bm25__keep,bm25__sentinel,mrr@100,two-sided,269,-0.005182574606831074,592.0,0.01740458489096361,0.1740458489096361,10,-0.007089454264037258,-0.015232068159853153,0.004275632102176829
mid,bm25,bm25__naive_strip,bm25__rule_resolved,mrr@100,two-sided,269,-0.0013945256684696748,2005.5,0.05342944240010258,0.5342944240010258,10,-0.0032199665565705283,-0.01966629230565295,0.01743620830430641
mid,bm25,bm25__naive_strip,bm25__sastrawi_clitic,mrr@100,two-sided,269,-0.0004785272160985333,18.0,0.18231443298387762,1.0,10,-0.0007324387446276309,-0.001275020081806604,0.0001156452625110942
mid,bm25,bm25__naive_strip,bm25__sentinel,mrr@100,two-sided,269,-0.0052974795409811235,550.0,0.02801072629542747,0.2801072629542747,10,-0.007144732659858211,-0.015223259311768721,0.004165939264999438
mid,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,mrr@100,greater,269,0.0009159984523711412,1870.0,0.9658457189334466,1.0,10,0.0022802338276143226,-0.01788642269535533,0.019197336349979274
mid,bm25,bm25__rule_resolved,bm25__sentinel,mrr@100,two-sided,269,-0.0039029538725114487,2400.0,0.44938721967735284,1.0,10,-0.0036483741241829164,-0.0234240462913767,0.015187611936044274
mid,bm25,bm25__sastrawi_clitic,bm25__sentinel,mrr@100,two-sided,269,-0.004818952324882591,592.5,0.04170430703277241,0.41704307032772414,10,-0.0064952115089620096,-0.014860115339326461,0.004615564274853079
high,bge_m3,bge_m3__keep,bge_m3__naive_strip,mrr@100,less,360,0.005775916518257097,324.5,0.03616134161234226,0.36161341612342257,10,0.008757716049382715,-0.0054075091956674115,0.01648537853815846
high,bge_m3,bge_m3__keep,bge_m3__rule_resolved,mrr@100,two-sided,360,0.00483585870709876,899.5,0.5889848897416246,1.0,10,0.0071913580246913585,-0.0077345478272125056,0.017652636160259833
high,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,mrr@100,two-sided,360,-0.0008561659369387751,157.0,0.44181436065743573,1.0,10,-0.001103395061728395,-0.009307218804451695,0.006255781260291031
high,bge_m3,bge_m3__keep,bge_m3__sentinel,mrr@100,two-sided,360,0.0009791487661469811,760.0,0.5969145637200206,1.0,10,0.0016589506172839507,-0.010569651472959121,0.01231639799396658
high,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,mrr@100,two-sided,360,-0.0009400578111583367,956.5,0.7240444270801247,1.0,10,-0.0015200617283950618,-0.016422994009463884,0.01461744020232939
high,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,mrr@100,two-sided,360,-0.006632082455195873,160.0,0.3266001151832483,1.0,10,-0.00984567901234568,-0.015686292975368082,0.0014300865153680042
high,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,mrr@100,two-sided,360,-0.004796767752110117,659.0,0.4717505291303289,1.0,10,-0.007145061728395062,-0.018144204991745263,0.008527360083317202
high,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,mrr@100,two-sided,360,-0.005692024644037535,1024.0,0.7511309564852883,1.0,10,-0.008209876543209876,-0.02037814018810751,0.008223603717389633
high,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,mrr@100,greater,360,-0.0038567099409517794,1123.0,0.370546920377098,1.0,10,-0.005679012345679012,-0.017868787775490193,0.009531401639540958
high,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,mrr@100,two-sided,360,0.0018353147030857558,798.5,0.8238213217451175,1.0,10,0.0026929012345679013,-0.01181420136456813,0.015816416958250177
high,bm25,bm25__keep,bm25__naive_strip,mrr@100,less,360,0.0016284216802046514,141.0,0.2813842224792453,1.0,10,0.0021296296296296298,0.00010768523034829686,0.003663854119057958
high,bm25,bm25__keep,bm25__rule_resolved,mrr@100,two-sided,360,0.0038995359264466962,3390.5,0.747163679013295,1.0,10,0.005640432098765432,-0.011311673813040057,0.019176885673581355
high,bm25,bm25__keep,bm25__sastrawi_clitic,mrr@100,two-sided,360,-0.00020069485878309432,25.0,0.47690655496758394,1.0,10,-0.00028549382716049385,-0.0014556866514893476,0.0009854058224462632
high,bm25,bm25__keep,bm25__sentinel,mrr@100,two-sided,360,-0.006917966243318843,936.5,0.0732450174435278,0.7324501744352779,10,-0.008387345679012346,-0.015498956365826709,0.0009534862097571237
high,bm25,bm25__naive_strip,bm25__rule_resolved,mrr@100,two-sided,360,0.0022711142462420457,2840.5,0.5270299533844515,1.0,10,0.0033641975308641974,-0.013009357673176764,0.017641052975334914
high,bm25,bm25__naive_strip,bm25__sastrawi_clitic,mrr@100,two-sided,360,-0.001829116538987746,60.5,0.27557619966709834,1.0,10,-0.0024691358024691358,-0.003900110796942314,-0.00024578124641026907
high,bm25,bm25__naive_strip,bm25__sentinel,mrr@100,two-sided,360,-0.008546387923523496,861.0,0.08234159558971783,0.8234159558971783,10,-0.010671296296296297,-0.017102926927185985,-0.0007232561461077708
high,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,mrr@100,greater,360,-0.004100230785229791,3169.5,0.6200003616795405,1.0,10,-0.005733024691358024,-0.019426513738771866,0.011153018600203148
high,bm25,bm25__rule_resolved,bm25__sentinel,mrr@100,two-sided,360,-0.01081750216976554,3617.0,0.6205920396665492,1.0,10,-0.013688271604938271,-0.027774495894002632,0.005844464706023039
high,bm25,bm25__sastrawi_clitic,bm25__sentinel,mrr@100,two-sided,360,-0.006717271384535749,998.0,0.15234165020885013,1.0,10,-0.008101851851851851,-0.015093082844845986,0.0009982725284771034
